4.3229, 7.6778, 1.3770, -8.4082, 8.4814
-9.6397, 2.5282, 4.3428, 5.9807, -4.5886
9.3859, -8.9763, 8.2467, -1.3054, 9.9776
-9.5427, -1.9067, 3.1026, 3.9569, -6.1009
-4.9684, -3.0681, -6.5823, -4.3810, -8.6313
6.8824, -4.0182, 4.1286, -0.0537, -0.4159
-1.5678, -4.0695, -0.7186, 3.3774, -8.2820
-3.2124, -4.2256, 4.6565, -1.9341, -7.2919
5.4387, 1.8092, 5.7213, -2.6244, -0.8186
-7.4450, -1.2427, 5.7636, -0.4790, 8.4815
6.5477, -2.6197, 1.8672, 1.2166, 7.2380
0.3482, 3.4038, -3.6786, -8.8550, -2.6009
-8.7713, -7.8046, 9.7779, -3.1255, -7.6306
-8.4543, 7.2669, -8.3127, 5.4284, -7.3883
-1.8522, 4.2162, -6.2742, 1.2851, 4.0372
